city_name,city_id
岳阳,57584
雷波,56485
安庆,58424
泰宁,58820
菏泽,54906
峰峰,53894
卫辉市,53994
永平,56746
侯马,53963
英山,58402
正定,53691
阿巴嘎旗,53192
凭祥,59419
浮梁,58524
安定,52995
石渠,56038
栾城,53789
沁县,53872
崂山,54853
乡宁,53953
新晃,57744
宜章,57976
胶州,54849
拉萨,55591
长海,54579
黄山区,58426
内江,57503
陵水,59954
开江,57329
鸡西,50978
大荔,57043
故城,54707
清河,54706
江华,59063
昌都,56137
达孜,55595
南和,53891
高邑,53790
高碑店,54506
垦利,54744
广丰,58635
瑞昌,58503
黄骅,54624
三明,58828
五原,53337
阿图什,51704
桂林,57957
玉环,58667
花溪,57914
济阳,54821
安达,50854
新竹,59152
勐海,56958
淳安,58543
上虞,58553
平潭,58944
丰润,54532
嫩江,50557
高邮,58241
桓台,54833
云霄,59322
盂县,53685
吉兰太,53502
东台,58251
昌宁,56843
盐山,54627
阜城,54710
崇左,59425
常州,58343
崇信,53928
漾濞,56745
磁县,53897
乐陵,54726
芒康,56342
黄岩岛,59989
磐石,54263
芜湖,58334
西和,57008
茂名,59659
会东,56675
雄县,54636
武宣,59246
温泉,51330
信丰,57995
夏县,57060
冀州,54704
泸溪,57657
龙口,54753
诸城,54848
定南,59093
漳浦,59129
普格,56575
横县,59441
铜鼓,57694
琼中,59849
新干,58701
永丰,58705
新河,54633
福清,58942
宜黄,58714
景东,56856
蔡家湖,51365
沈丘县,58104
大同县,53488
五峰,57458
吉隆,55650
安国,54604
麻江,57828
常宁,57874
固原,53817
昔阳,53783
泰顺,58746
确山县,57294
克东,50659
古蔺,57605
安县,56190
红安,57398
常德,57662
贺兰,53610
钟山,59064
青州,54831
大理,56751
宁河,54529
清远,59280
萝北,50776
万州,57432
凤台,58212
中阳,53767
南涧,56851
扶余,54063
琼结,55597
紫阳,57231
乐平,58620
乌兰,52833
新建,58693
黄梅,58409
临洮,52986
右玉,53478
柘荣,58749
荣昌,57505
河口县,56989
洮南,50939
阿合奇,51711
威县,54800
林口,50979
奉新,58601
遂溪,59650
元谋,56763
吉县,53859
丰县,58012
乌海,53512
南郑,57213
新洲,57492
宜城,57370
万全,53499
宜兰,59162
山阴,53576
蓝田,57047
博兴,54737
新兴,59470
舒兰,54076
三水,59279
美姑,56487
龙泉驿,56286
南昌,58606
安顺,57806
且末,51855
无锡,58354
东乡,52981
蒙阴,54923
涿鹿,54408
余庆,57729
延庆,54406
崇武,59133
康保,53392
高州,59653
临沂,54938
比如,56109
巴林左旗,54027
永仁,56669
阳山,59075
阳春,59469
乐都,52874
晋城,53976
九台,54069
安康,57245
枣阳,57279
正兰旗,54205
民乐,52656
卢龙,54438
和顺,53788
望城区,P5600
原阳县,53989
墨竹贡卡,55593
唐河,57273
靖宇,54276
易门,56870
都昌,58517
繁峙,53585
乌伊岭,50674
乌当,57915
成县,57102
永年,53895
南乐县,54901
襄汾,53861
垣曲,53968
旬阳,57242
满城,54611
庄浪,53917
马尔康,56172
安平,54609
金昌,52675
莒县,54936
环县,53821
鄂托克旗,53529
神农架,57362
肥乡,53980
靖安,58600
垫江,57425
济宁,54915
延吉,54292
什邡,56197
任丘,54610
合阳,53950
龙里,57913
上蔡县,57194
云阳,57339
赞皇,53795
达坂城,51477
金川,56168
宜良,56880
玉林,59453
田阳,59213
克山,50658
连江,58848
岐山,57024
宁波,58562
延寿,50965
定襄,53676
平邑,54925
桃源,57661
拜泉,50755
淳化,57031
保康,57361
大连,54662
合浦,59640
裕民,51137
五河,58129
天津,54517
湘江新区,57687
炮台,51352
敦煌,52418
徐州,58027
五常,54080
昆山,58356
沙河,53781
贵德,52868
莱芜,54828
吴堡,53756
堆龙德庆,55594
建瓯,58737
江安,57600
乡城,56443
天镇,53490
布尔津,51060
嵩县,57162
宁德,58846
湘阴,57673
青阳,58421
循化,52972
武威,52679
阜南,58202
成武,58003
房县,57259
丽水,58646
滁州,58236
蒙山,59058
澧县,57565
和硕,51568
通许,57191
鲁甸,56585
舒城,58316
怀安,53491
碌曲,56071
金山,58460
二连浩特,53068
邓州,57274
通化,54363
泗洪,58135
